MW,HD,HA,RB,EM,MM,TPSA,HAC,Complexity,CBC,Gap,PT,PCE0,aPCE,bPCE,,
158.18,1,3,1,158.0038,158.0038,62.8,10,184,1,1.6,1,18.2,0.9,0,,
112.55,0,0,0,112.008,112.008,0,7,46.1,1,1.6,1,18.2,1.6,1,,
98.14,0,2,0,97.97701082,97.97701082,40.1,5,34.6,2,1.68,1,18.01,19.15,1,1.14,10.1002/adma.202002333
82.03,0,2,0,82.0030736,82.0030736,40.1,5,34.6,2,1.68,1,18.01,17.33,0,-0.68,10.1002/adma.202002333
191.95,0,2,0,191.9187562,191.9187562,40.1,5,34.6,2,1.68,1,18.01,18.7,0,0.69,10.1002/adma.202002333
98.14,0,2,0,97.97701082,97.97701082,40.1,5,34.6,2,1.54,1,19.08,20.06,0,0.98,10.1002/solr.202000793
146.62,0,1,1,146.061076,146.061076,8.8,9,72.9,2,1.6,3,18.06,18.16,0,0.1,10.1016/j.jcis.2022.04.117
191.07,0,1,1,190.0105,190.0105,8.8,9,72.9,2,1.6,3,18.06,20,1,1.94,10.1016/j.jcis.2022.04.117
238.01,0,1,1,237.9967,237.9967,8.8,9,72.9,2,1.6,3,18.06,19,0,0.94,10.1016/j.jcis.2022.04.117
249.09,2,4,2,249.00145,249.00145,26,10,65,2,1.58,1,20.65,21.65,1,1,10.1002/adfm.202104036
392.02,4,2,2,391.92464,391.92464,52,12,73.3,3,1.58,1,20.65,21.63,0,0.98,10.1002/adfm.202104036
163.67,2,2,2,163.022248,163.022248,54.3,9,65.5,2,1.65,3,17.97,20.31,2,2.34,10.1016/j.nanoen.2021.106608
174.19,2,4,7,174.0892089,174.0892089,74.6,12,135,1,1.61,2,18.32,19.48,1,1.16,10.1016/j.apsusc.2022.152670
166.13,2,4,2,166.0266086,166.0266086,74.6,12,169,1,1.61,2,18.32,20.3,1,1.98,10.1016/j.apsusc.2022.152670
242.23,2,4,3,242.0579088,242.0579088,74.6,18,278,1,1.61,2,18.32,20.87,2,2.55,10.1016/j.apsusc.2022.152670
395.4,1,1,15,395.2049,395.2049,27.6,20,175,2,1.55,2,22.3,24.3,1,2,10.1126/science.abm5784
263.03,2,3,1,262.94433,262.94433,63.3,11,163,1,1.63,3,18.92,19.4,0,0.48,10.1021/acsami.1c22454
395.4,1,1,15,395.2049,395.2049,27.6,20,175,2,1.57,2,18.96,20.52,1,1.56,10.1002/solr.202101082
249.09,2,4,2,249.00145,249.00145,26,10,65,2,1.57,1,15.45,18.96,2,3.51,10.1002/solr.202101082
196.57,1,3,0,169.004289,169.004289,50.9,11,157,1,1.61,2,18.36,19.71,1,1.35,10.1016/j.jechem.2021.06.029
285.29,1,5,1,285.1001079,285.1001079,66.8,21,514,1,1.6,2,17.6,20.5,2,2.9,10.1016/j.nanoen.2022.106935
152.15,2,3,2,152.0473441,152.0473441,57.5,11,138,1,1.61,1,14.9,18.42,2,3.52,10.1002/cnma.202200091
239.7,2,4,3,239.0183056,239.0183056,68.5,14,239,2,1.63,2,18.72,21.76,2,3.04,10.1002/adfm.202200431
239.7,2,4,3,239.0183056,239.0183056,68.5,14,239,2,1.68,2,17.85,20.11,2,2.26,10.1002/adfm.202200431
183.18,2,4,3,183.0695567,183.0695567,63.3,13,178,1,1.61,2,17.87,21.8,2,3.93,10.1002/solr.202101101
161.12,1,4,1,161.0452336,161.0452336,26,11,119,1,1.68,2,19.09,20.39,1,1.3,10.1002/inf2.12307
211.13,1,6,2,211.04204,211.04204,26,14,175,1,1.57,2,19.1,21.1,1,2,10.1038/s41467-020-20272-3
214.05,3,2,0,213.9967,213.9967,24.1,7,26.5,2,1.57,3,20.76,23.37,2,2.61,10.1021/jacs.0c09845
341.96,4,2,0,341.90899,341.90899,24.1,8,26.5,3,1.57,3,20.76,21.98,1,1.22,10.1021/jacs.0c09845
224.18,0,1,5,223.09356,223.09356,0,11,71.3,2,1.61,1,17.71,20.37,2,2.66,10.1021/acsami.1c22020
146.89,3,5,0,147.05909,147.05909,77.6,9,37.9,2,1.61,3,18.09,20.54,2,2.45,10.1016/j.solmat.2022.111682
123.11,1,3,1,123.0320284,123.0320284,50.2,9,114,1,1.62,1,16.31,16.34,0,0.03,10.1021/acsaem.1c01017
123.11,1,3,1,123.0320284,123.0320284,50.2,9,114,1,1.62,1,16.31,18.13,1,1.82,10.1021/acsaem.1c01017
123.11,1,3,1,123.0320284,123.0320284,50.2,9,108,1,1.62,1,16.31,17.66,1,1.35,10.1021/acsaem.1c01017
130.17,1,4,2,130.0313173,130.0313173,79.8,8,68.3,1,1.6,2,18.36,20.49,2,2.13,10.1016/j.cej.2020.127579
173.19,2,4,1,173.0146642,173.0146642,88.8,11,210,1,1.59,2,18.25,20.32,2,2.07,10.1021/acsami.1c04601
305.4,2,3,9,305.1990937,305.1990937,58.6,22,341,1,1.61,2,19.16,21.88,2,2.72,10.1016/j.joule. 2020.12.009
202.09,2,1,2,201.0153,201.0153,26,10,65,2,1.61,1,17.56,19.46,1,1.9,10.1016/j.solener.2020.05.042
122.12,1,2,1,122.0367794,122.0367794,37.3,9,103,1,1.6,2,15.5,16.2,0,0.7,10.1002/cssc.201701262
156.56,1,2,1,155.997807,155.997807,37.3,10,128,1,1.6,2,15.5,17.6,2,2.1,10.1002/cssc.201701262
201.02,1,2,1,199.94729,199.94729,37.3,10,128,1,1.6,2,15.5,18.4,2,2.9,10.1002/cssc.201701262
113.18,1,2,1,113.0299204,113.0299204,54.3,7,56,1,1.57,1,17.6,20.4,2,2.8,10.1021/acsami.2c01625
546.8,0,1,28,545.45351,545.45351,0,34,281,2,1.61,3,18.18,20.37,2,2.19,10.1016/j.nanoen.2021.105882
161.2,1,3,3,161.1051933,161.1051933,60.4,11,134,1,1.6,2,16.43,20.12,2,3.69,10.1021/acsami.0c22817
100.14,2,1,0,100.0095193,100.0095193,56.2,6,87,1,1.6,1,18.22,20.68,2,2.46,10.1002/aelm.202000604
227.77,0,1,5,227.144077,227.144077,0,15,135,2,1.61,3,16.87,20,2,3.13,10.1002/solr.202000358
221.37,1,4,9,221.1447201,221.1447201,53.7,14,118,1,1.56,1,18.71,20.21,1,1.5,10.1016/j.apsusc.2021.149973
97.18,0,2,0,96.93885166,96.93885166,24.8,4,34.5,2,1.58,1,18.69,21.23,2,2.54,10.1002/smtd.202000478
74.55,0,1,0,73.932559,73.932559,0,2,2,2,1.58,1,18.69,19.81,1,1.12,10.1002/smtd.202000478
125.91,0,5,0,125.966624,125.966624,0,6,23,2,1.61,1,17.9,19.84,1,1.94,10.1021/acs.jpcc.2c00283
196.67,1,3,4,196.097855,196.097855,52.3,12,140,2,1.58,2,18.08,20.45,2,2.37,10.1039/D0CC02613A
139.62,1,2,2,139.076391,139.076391,20.2,8,46.5,2,1.58,2,18.08,19.79,1,1.71,10.1039/D0CC02613A
231.08,1,2,2,231.012,231.012,20.2,8,46.5,2,1.58,2,18.08,19.11,1,1.03,10.1039/D0CC02613A
189.18,1,4,2,189.0765338,189.0765338,26,13,147,1,1.6,3,21,21.3,0,0.3,10.34133/2021/9836752
238.09,2,8,2,237.9889211,237.9889211,74.6,16,264,1,1.61,3,16.1,19.39,2,3.29,10.1021/acsami. 9b12961
180.16,5,6,1,180.0633881,180.0633881,110,12,151,1,1.57,2,17.83,20.15,2,2.32,10.1039/D0TC00365D
